Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Transaction_Status,Transaction_Location,Currency
140,2832,2022-04-22,deposit,2135.0,completed,Justinfort,USD
141,6947,2023-04-08,deposit,780.31,failed,New Diana,GBP
142,6038,2023-05-31,deposit,5937.2,failed,Williamsbury,GBP
143,4923,2022-08-15,withdrawal,5194.92,failed,Jacobburgh,EUR
144,1949,2022-02-14,withdrawal,4451.22,pending,New Jessica,GBP
145,4946,2023-06-18,deposit,81.62,failed,Barbarastad,USD
146,2290,2022-11-05,deposit,3436.4,failed,North Christophermouth,GBP
147,2403,2023-04-15,withdrawal,1206.82,completed,Lake Brittanyborough,USD
148,8962,2022-02-01,withdrawal,8603.54,failed,West Frank,EUR
149,2133,2022-03-04,deposit,6940.62,failed,Hernandeztown,EUR
150,9727,2023-05-06,withdrawal,4777.52,pending,North Timothy,GBP
151,3060,2023-02-16,withdrawal,2290.24,pending,Melissafort,EUR
152,3103,2023-03-13,withdrawal,894.22,pending,Bellburgh,EUR
153,8787,2022-04-21,withdrawal,8059.76,completed,Rebeccaberg,GBP
154,3705,2023-05-18,transfer,1032.91,completed,Port Renee,EUR
155,5342,2023-03-31,transfer,3676.25,pending,Jackfort,EUR
156,9645,2022-03-17,transfer,2993.25,pending,Davismouth,USD
157,7932,2022-03-24,deposit,3827.83,failed,Whiteberg,GBP
158,4470,2022-11-26,withdrawal,8133.87,failed,West Leestad,EUR
159,9835,2022-06-01,transfer,8745.1,failed,West Erin,EUR
160,4295,2022-03-09,withdrawal,6416.12,pending,Perryberg,USD
161,6107,2022-05-10,transfer,6771.69,failed,Port Kara,GBP
162,7537,2022-10-09,deposit,685.05,failed,West Sharonhaven,USD
163,7118,2023-08-23,deposit,5633.35,pending,Johnsonville,USD
164,8177,2023-07-16,transfer,6103.58,failed,Crystalhaven,GBP
165,9479,2022-11-29,deposit,1642.0,pending,New Cassandraburgh,EUR
166,8397,2023-01-26,withdrawal,3512.53,completed,West Amandaport,EUR
167,2982,2023-06-28,withdrawal,2131.34,completed,Sherylmouth,GBP
168,5061,2022-10-29,deposit,7482.94,failed,Anthonystad,USD
169,4681,2023-04-10,withdrawal,9199.02,completed,Port Jasmine,GBP
170,2049,2023-06-02,transfer,6161.14,completed,Lake Jaimestad,EUR
171,6539,2023-03-17,transfer,4424.4,pending,Port Anthonyhaven,EUR
172,1344,2022-04-12,transfer,2173.23,pending,West Tracy,GBP
173,4770,2022-04-28,withdrawal,8966.03,failed,Ashleychester,USD
174,4608,2023-07-19,transfer,1400.99,pending,Lamberttown,EUR
175,1117,2022-08-09,deposit,1232.45,failed,Port Bethfurt,USD
176,2163,2023-03-17,transfer,7300.36,failed,Barrerastad,GBP
177,1964,2023-04-08,withdrawal,3516.0,pending,East Jamesberg,GBP
178,4750,2022-08-22,withdrawal,4294.46,failed,Michaeltown,EUR
179,2104,2023-02-28,transfer,7910.98,completed,Stantonfurt,EUR
180,1514,2022-12-14,deposit,2478.62,completed,North Julie,GBP
181,6413,2023-04-10,deposit,6446.56,completed,South Jason,USD
182,2160,2023-02-13,deposit,2482.42,pending,Caitlinbury,USD
183,9423,2023-03-02,withdrawal,6010.39,completed,Carlatown,GBP
184,4899,2022-04-08,deposit,7212.08,failed,Smithberg,USD
185,5562,2022-11-17,withdrawal,2849.92,failed,Townsendview,EUR
186,8953,2023-03-14,transfer,9412.85,failed,Port Jorgeland,GBP
187,4510,2022-11-17,transfer,269.22,pending,Alvarezberg,USD
188,9834,2022-09-19,withdrawal,8470.85,completed,Walkertown,EUR
189,3167,2023-01-19,withdrawal,8758.4,pending,Brownview,EUR
190,8744,2022-06-06,transfer,2055.25,failed,New Brandon,GBP
191,4981,2023-05-01,transfer,6069.66,completed,Morenoview,EUR
192,8749,2022-03-10,withdrawal,1887.28,completed,Port Stephen,USD
193,7669,2022-04-04,transfer,3918.12,completed,Robertstad,GBP
194,4119,2022-03-29,transfer,6462.05,pending,East Hectorshire,EUR
195,2545,2022-04-06,deposit,7838.23,completed,Jenniferfort,USD
196,2588,2023-03-19,deposit,7937.99,pending,Hayesbury,EUR
197,8062,2022-04-09,transfer,2394.17,completed,North Michaelfurt,EUR
198,6804,2023-01-17,transfer,3859.47,failed,Cobbton,GBP
199,7939,2022-05-14,deposit,2411.58,pending,South Elizabeth,EUR
200,7735,2023-07-24,transfer,6381.19,completed,Philipshire,EUR
201,8651,2022-03-03,withdrawal,711.05,pending,Brianstad,USD
202,1887,2023-08-24,transfer,8887.36,completed,North Gregorymouth,EUR
203,2612,2023-07-30,transfer,121.66,failed,Ruizbury,EUR
204,1993,2023-07-30,withdrawal,3611.62,failed,Port Lisamouth,USD
205,7596,2022-12-04,deposit,3165.41,failed,Stanleybury,EUR
206,6559,2022-05-06,transfer,3869.0,completed,Rileyburgh,GBP
207,2790,2023-02-25,deposit,8389.89,pending,Dianebury,EUR
208,5073,2022-12-29,deposit,4209.21,pending,Lake Michael,EUR
209,4139,2023-03-10,transfer,5464.02,failed,West Gwendolyn,EUR
210,4116,2022-02-22,transfer,1728.53,failed,North Josephmouth,EUR
211,9786,2022-10-22,deposit,4710.68,failed,Phillipsfurt,EUR
212,8350,2022-11-16,transfer,9873.68,completed,South Aaron,USD
213,3296,2022-12-27,transfer,730.85,pending,Sethview,GBP
214,7912,2022-04-17,deposit,5874.05,completed,Port Emilymouth,USD
215,4006,2023-08-15,deposit,138.92,failed,East Jasonborough,GBP
216,5563,2023-06-04,withdrawal,2158.21,failed,Lake Luis,GBP
217,8579,2022-08-06,transfer,9225.87,completed,Duranstad,USD
218,5092,2022-06-08,withdrawal,9486.85,failed,Port Thomas,USD
219,2235,2023-05-09,deposit,3980.35,pending,West Michaelamouth,GBP
220,8260,2022-08-18,transfer,2865.59,failed,Castroville,EUR
221,2604,2022-04-21,deposit,7126.58,pending,Port Joshuamouth,USD
222,1828,2022-12-25,transfer,7671.33,failed,Jenniferton,GBP
223,9856,2023-07-24,transfer,4236.33,completed,East Michael,EUR
224,1241,2023-01-12,withdrawal,4023.37,failed,South Jessicastad,EUR
225,2528,2022-04-28,deposit,6405.73,failed,Johnbury,USD
226,4872,2022-10-13,transfer,5377.02,completed,Grahamberg,USD
227,3724,2023-08-11,withdrawal,1527.65,failed,Shirleyburgh,GBP
228,7658,2022-08-20,deposit,836.89,completed,Bentleyberg,USD
229,8956,2023-03-16,withdrawal,791.14,completed,Lake Nicholasbury,EUR
230,8886,2023-07-29,deposit,9209.33,pending,East Kristina,USD
231,4502,2023-07-25,transfer,9743.16,failed,North Paul,USD
232,7570,2022-01-27,withdrawal,1554.62,failed,Racheltown,EUR
233,1960,2022-10-01,withdrawal,3268.18,failed,Wyattmouth,EUR
234,3697,2022-01-30,transfer,5864.79,pending,Rodriguezmouth,USD
235,7209,2022-07-04,deposit,7632.48,failed,North Wyattchester,GBP
236,1035,2022-10-07,transfer,6498.75,pending,North Madisonside,GBP
237,7396,2022-11-13,withdrawal,6431.9,pending,Henryland,GBP
238,5345,2022-12-14,transfer,3102.38,failed,Port Mark,GBP
239,8454,2022-12-26,withdrawal,4375.42,failed,Port Erikburgh,EUR
240,5673,2022-01-07,transfer,9534.33,completed,New Angela,EUR
241,7930,2022-07-05,deposit,2387.14,pending,South Davidshire,EUR
242,8973,2022-05-27,withdrawal,2445.55,pending,Tammymouth,EUR
243,3536,2023-08-03,withdrawal,9246.35,pending,Brianmouth,GBP
244,4111,2023-02-15,deposit,1160.75,pending,Davischester,GBP
245,5861,2022-03-13,transfer,6123.36,pending,South Cheryl,USD
246,4566,2022-05-26,deposit,551.23,completed,Hartborough,EUR
247,1958,2022-02-01,transfer,6661.13,completed,North Jonathanton,USD
248,9883,2022-04-04,deposit,6580.87,pending,Wrighttown,GBP
249,1998,2023-06-28,deposit,1757.28,failed,Richardsmouth,USD
250,6138,2022-08-09,withdrawal,127.64,failed,West Chadton,USD
251,1936,2023-01-21,withdrawal,1372.98,failed,Toddport,USD
252,1821,2023-03-06,transfer,114.49,failed,Port Rebeccastad,EUR
253,8811,2023-04-10,deposit,4964.63,pending,Carrollberg,EUR
254,9238,2022-12-16,transfer,3467.7,failed,Lake Susan,GBP
255,9701,2022-06-11,deposit,5172.71,failed,Kimland,USD
256,3579,2023-01-14,deposit,8225.25,pending,Callahanborough,EUR
257,1931,2022-11-16,withdrawal,2593.21,failed,Williamport,GBP
258,9320,2022-11-29,deposit,3719.32,failed,Jordanton,EUR
259,2312,2023-08-05,withdrawal,7498.01,failed,Michaelmouth,EUR
260,4044,2022-03-28,withdrawal,8734.73,failed,Port Wendyburgh,EUR
261,2122,2022-02-23,deposit,7329.63,completed,Latoyaburgh,EUR
262,2113,2022-06-09,deposit,1181.45,completed,Lisamouth,GBP
263,4853,2022-06-11,transfer,8999.07,completed,Anthonyfurt,GBP
264,7615,2022-02-20,transfer,3350.78,failed,Lake Jamie,EUR
265,2964,2022-03-25,transfer,4293.82,failed,West Tracyview,EUR
266,5033,2022-10-06,withdrawal,5239.02,pending,Johnport,USD
267,1651,2023-03-30,withdrawal,2630.23,failed,Doughertyburgh,EUR
268,2343,2023-03-11,withdrawal,9750.53,pending,South Chaseville,USD
269,7868,2023-05-13,withdrawal,6275.7,failed,Shannonview,EUR
270,9565,2023-03-29,withdrawal,4961.98,completed,East Robertmouth,GBP
271,6183,2023-03-01,withdrawal,5108.31,failed,West Toddland,GBP
272,5272,2022-10-07,deposit,555.34,failed,Elizabethmouth,USD
273,4346,2022-08-09,transfer,8593.74,completed,North Sherry,GBP
274,6147,2023-06-09,transfer,1669.65,failed,Williamborough,GBP
275,4910,2022-04-27,transfer,1573.94,failed,West Jamie,GBP
276,5351,2022-12-20,deposit,7733.52,failed,South Helen,GBP
277,7484,2023-03-17,transfer,8942.79,failed,New Justin,GBP
278,3144,2022-04-24,withdrawal,6741.53,pending,Barkermouth,USD
279,5915,2022-10-18,deposit,1154.22,failed,Olsonhaven,EUR
280,8491,2023-05-14,deposit,7408.06,completed,Coxshire,EUR
281,6180,2023-06-24,transfer,26.68,pending,Joshuaport,EUR
282,2188,2022-11-12,withdrawal,8587.03,failed,Ryanberg,GBP
283,1152,2022-02-16,transfer,123.87,pending,Jamesmouth,GBP
284,8508,2022-08-14,deposit,460.77,failed,Hortonburgh,EUR
285,2638,2023-02-09,transfer,3640.4,failed,New Jamie,GBP
286,2200,2022-02-26,deposit,9202.35,failed,Sarahtown,EUR
287,9808,2022-01-08,deposit,1790.43,failed,Williamschester,USD
288,4492,2022-07-29,deposit,9603.46,pending,South Chelsea,EUR
289,9288,2022-11-05,withdrawal,354.6,failed,North Regina,GBP
290,5345,2022-08-05,withdrawal,8031.35,failed,North Jeffery,EUR
291,3170,2022-05-21,transfer,7140.49,failed,South Samantha,EUR
292,6718,2022-09-19,transfer,6557.38,pending,West Daniel,GBP
293,2127,2022-10-24,transfer,2245.93,pending,West Karenport,USD
294,5002,2022-12-02,withdrawal,2483.38,completed,Huffville,USD
295,7054,2022-05-03,transfer,9158.63,failed,Port Dylanmouth,GBP
296,5669,2022-01-08,withdrawal,3200.03,completed,Lake Wayne,EUR
297,3584,2023-05-25,deposit,8260.14,completed,West Cindy,EUR
298,8179,2023-03-17,deposit,5715.79,pending,North Stephenberg,GBP
299,9900,2022-06-29,withdrawal,1194.89,completed,West Austin,GBP
300,5956,2022-05-13,withdrawal,6733.58,completed,Martinland,GBP
301,9666,2023-01-25,deposit,527.67,failed,West Joshua,EUR
302,1128,2023-06-30,withdrawal,2232.63,completed,Danielmouth,USD
303,5905,2022-08-24,deposit,5158.23,completed,Lake Jeanne,USD
304,2697,2023-05-28,transfer,460.24,pending,Apriltown,USD
305,3200,2023-07-27,deposit,4009.85,completed,Robertberg,EUR
306,5333,2022-12-29,deposit,8770.04,pending,Strongview,USD
307,2891,2022-03-15,transfer,8660.46,failed,North Robert,EUR
308,2753,2023-02-11,withdrawal,7735.5,pending,Darrellfurt,EUR
309,3546,2022-02-13,transfer,3107.67,completed,New Brendan,GBP
310,5462,2023-03-23,deposit,864.77,completed,Cynthiatown,EUR
311,5616,2022-01-20,deposit,4568.01,failed,Nguyenfort,GBP
312,4450,2023-04-16,deposit,3689.82,pending,Sandrastad,EUR
313,6617,2022-03-21,deposit,2916.66,completed,Abbotttown,GBP
314,4335,2022-11-17,deposit,7845.29,failed,Richardsonland,GBP
315,5325,2023-08-13,transfer,7396.02,completed,East Rachelshire,EUR
316,9280,2023-03-16,deposit,2426.6,pending,South Michael,EUR
317,9004,2023-08-11,withdrawal,3683.37,pending,South Michaelburgh,EUR
318,5114,2023-02-19,transfer,9718.61,completed,Ariashaven,EUR
319,1832,2023-03-04,transfer,9977.87,failed,Reynoldsbury,GBP
320,2512,2022-10-24,transfer,7759.08,failed,Port Patrick,GBP
321,7939,2022-04-28,deposit,7324.9,failed,South Davidmouth,GBP
322,5533,2023-02-19,deposit,5466.05,failed,Craigfort,EUR
323,1722,2022-01-22,transfer,7959.94,completed,Pierceport,EUR
324,1058,2022-11-29,deposit,1506.51,failed,Monroemouth,USD
325,6464,2022-06-25,withdrawal,9324.04,failed,Tristanview,USD
326,3143,2023-04-17,withdrawal,240.08,failed,East Troyshire,USD
327,5291,2023-01-06,deposit,5415.91,pending,Lake Davidhaven,USD
328,3647,2022-04-01,transfer,6359.78,completed,Jeremyfurt,GBP
329,8239,2023-03-24,deposit,6934.91,failed,East Carlosmouth,USD
330,8007,2022-04-19,deposit,96.94,failed,Jonathanhaven,GBP
331,1158,2022-09-07,deposit,3350.84,pending,West Tylerberg,EUR
332,2832,2023-03-23,transfer,7589.53,failed,New Robert,GBP
333,2232,2023-08-27,withdrawal,3763.37,failed,Madelineview,GBP
334,3442,2023-02-15,deposit,7381.09,completed,Schultzview,GBP
335,9938,2023-06-21,transfer,3075.8,pending,Fischermouth,USD
336,1590,2022-03-22,transfer,2052.74,pending,North Danielletown,USD
337,7049,2023-02-10,withdrawal,9831.17,pending,North Christopher,USD
338,3426,2022-11-14,transfer,4198.74,failed,East Nancy,EUR
339,8041,2022-12-14,transfer,9611.89,pending,North Eileenshire,USD
340,3088,2022-08-15,transfer,9725.62,failed,Michaelburgh,USD
341,1685,2022-12-08,withdrawal,1424.59,completed,East Virginiafort,USD
342,6050,2022-06-22,deposit,2798.97,completed,Garrettville,EUR
343,6974,2022-03-20,withdrawal,439.96,failed,Wilsonborough,GBP
344,1653,2023-06-07,deposit,2315.49,pending,Rebekahfort,USD
345,6862,2022-04-27,transfer,8455.2,completed,New Kyle,USD
346,4441,2023-06-28,transfer,4131.15,failed,Rogerstown,EUR
347,5088,2023-06-07,deposit,8955.88,pending,East Charlesbury,GBP
348,2684,2022-07-18,withdrawal,4585.12,completed,Michaelhaven,USD
349,6794,2022-12-24,withdrawal,7479.25,failed,Port Shawnton,USD
350,7658,2022-12-26,withdrawal,5808.13,failed,East Tara,EUR
351,3532,2022-06-01,deposit,5054.77,failed,North Jeffreytown,GBP
352,4878,2022-08-30,transfer,6372.52,failed,Angelaside,USD
353,3662,2022-04-16,transfer,3944.12,pending,Harperfort,USD
354,3900,2022-05-30,transfer,5919.37,failed,Port Erikview,GBP
355,7755,2022-09-20,deposit,623.77,failed,West Richardside,EUR
356,1406,2022-07-22,transfer,6624.78,failed,Davidchester,EUR
357,3938,2022-06-27,transfer,1307.95,failed,New Erinberg,USD
358,6442,2022-06-06,withdrawal,2917.47,completed,East Patrickhaven,USD
359,7745,2022-03-19,transfer,8509.29,failed,East Michele,GBP
360,5065,2022-07-01,withdrawal,9260.49,completed,Lake Daniel,EUR
361,5371,2023-05-21,deposit,3930.13,pending,Beckmouth,EUR
362,3608,2023-04-21,withdrawal,8319.17,pending,Armstrongberg,GBP
363,2771,2023-08-01,transfer,3263.19,completed,Lisaberg,USD
364,7267,2023-08-17,transfer,4528.13,failed,North Lisaport,USD
365,1634,2023-04-05,withdrawal,2336.88,completed,East Diamond,GBP
366,8711,2023-08-02,transfer,9435.6,completed,Marshberg,USD
367,4644,2022-11-27,withdrawal,1361.98,completed,North Matthew,USD
368,4269,2022-11-20,transfer,7701.7,failed,Scottstad,USD
369,8541,2022-06-04,withdrawal,1090.62,failed,North Mark,GBP
370,6728,2023-03-27,withdrawal,1057.47,completed,New Nicoleport,EUR
371,6000,2022-03-11,deposit,4496.22,pending,Port Sarah,EUR
372,4728,2023-04-26,withdrawal,3141.02,completed,Patrickfurt,EUR
373,4652,2023-03-29,withdrawal,1208.25,pending,North Kimberly,EUR
374,1387,2022-11-07,deposit,3583.52,pending,East Randy,GBP
375,4164,2022-10-09,transfer,7703.6,failed,Toddchester,EUR
376,7528,2023-08-29,withdrawal,4519.72,pending,Christopherport,GBP
377,6378,2022-02-27,deposit,4634.0,completed,South Bradview,EUR
378,5564,2022-12-27,deposit,8524.97,completed,New Jamesfort,USD
379,2137,2023-06-04,withdrawal,905.12,failed,Mariafort,GBP
380,5573,2022-03-17,transfer,8076.16,pending,North Rogerchester,GBP
381,6753,2022-11-14,deposit,3042.85,completed,Marcusmouth,USD
382,9346,2023-04-18,withdrawal,7047.34,pending,Westbury,GBP
383,7548,2023-04-08,deposit,6033.42,pending,West Robert,GBP
384,9785,2022-02-08,transfer,2150.99,failed,North Natasha,EUR
385,6425,2022-02-28,withdrawal,8565.88,completed,East Susan,GBP
386,1452,2023-01-13,withdrawal,1484.09,completed,Port Christine,GBP
387,2889,2022-10-21,transfer,7111.86,completed,Katherineside,GBP
388,5279,2022-03-20,transfer,9684.03,pending,Port Brenda,GBP
389,3925,2022-04-03,deposit,3963.05,failed,Russellberg,EUR
390,5349,2023-06-04,withdrawal,490.46,completed,Jasmineshire,GBP
391,1626,2023-01-29,deposit,2989.11,failed,Davidview,GBP
392,2776,2023-04-19,withdrawal,8201.08,failed,New Joshuaton,GBP
393,8119,2023-08-18,deposit,1739.5,failed,Lisaton,GBP
394,6663,2023-07-22,withdrawal,9521.01,pending,Port Eric,EUR
